Unnamed: 0,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS,Al,Ti,V,Cr,Zr,Nb,Mo,Pd,Hf,Ta
26,Al1 Cr1 Pd1 Hf1,AlCrPdHf,SS,SS,-4.79775092237506,38.5402341894332,94.139087314527,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0
27,Al1 Cr1 Nb1 Hf1,AlCrNbHf,SS,SS,-8.36876669400341,48.8515031285763,92.5991773732148,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0
28,Al1 Ta1 Zr1 Ti1,AlTiZrTa,SS,SS,-11.1589622310876,53.7236629463362,85.7866943081781,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
29,Al1 Ta1 Zr1 Mo1,AlZrMoTa,SS,SS,-2.58503237995962,36.2207342680746,82.2339348119226,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25
30,Al1 Ta1 Zr1 V1,AlVZrTa,SS,SS,-9.45338194110455,51.9284416331887,87.2121613433459,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25
31,Al1 Ta1 Zr1 Pd1,AlZrPdTa,SS,SS,-3.77858753035087,38.6229093845429,95.1854509324479,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25
32,Al1 Ta1 Zr1 Nb1,AlZrNbTa,SS,SS,-8.99818524323476,51.6827644270161,88.6652751532596,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25
33,Al1 Ta1 Zr1 Hf1,AlZrHfTa,SS,SS,-10.4896629450854,51.2743215234122,87.3615597420334,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25
34,Al1 Ta1 Ti1 Mo1,AlTiMoTa,SS,SS,-4.05098213641226,40.9432324338475,81.9326448527326,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25
35,Al1 Ta1 Ti1 V1,AlTiVTa,SS,SS,-7.35563000368676,49.4282302419022,91.7284477014649,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
